towns	tmax	tmin	rain	sun	twater
"Bad Doberan"	22	-2	113	55	8
"Bad Driburg"	22	0	143	48
"Bad Dueben"	24	-3	170	48
"Bad Duerkheim"	24	-2	111	54
"Bad Duerrenberg"	24	-3	170	46
"Bad Duerrenheim-oefingen"	25	-3	134	54
"Bad Duerrheim"	26	-3	134	56
"Bad Eilsen"	22	-2	122	47
"Bad Elster"	24	-4	114	57
"Bad Elster"	24	-5	114	58
"Bad Ems"	24	-1	129	51
"Bad Emstal"	18	-2	126	46
"Bad Endbach"	24	-2	111	52
"Bad Endorf"	24	-6	184	57
"Bad Essen"	22	-3	122	46
"Bad Fallingbostel"	22	-2	122	48
"Bad Faulenbach"	25	-7	172	60
"Bad Feilnbach"	23	-5	173	56
"Bad Frankenhausen"	24	-3	170	47
"Bad Fredeburg"	22	0	143	48
"Bad Freienwalde"	23	-3	166	57
"Bad Friedrichshall"	24	-2	111	50
"Bad Fuessing"	24	-6	187	57
"Bad Gandersheim"	22	-3	122	47
"Bad Griesbach"	24	-6	184	55
"Bad Grund"	22	-2	122	46
"Bad Groenenbach"	22	-5	173	54
"Bad Goegging"	23	-5	173	56
"Bad Harzburg"	22	-2	122	48
"Bad Heilbrunn"	25	-7	172	60
"Bad Herrenalb"	24	-4	167	58
"Bad Hersfeld"	18	-2	126	50
"Bad Hindelang"	23	-5	173	55
"Bad Homburg"	24	-2	111	49
"Bad Honnef"	23	-1	180	47
"Bad Hoenningen"	23	-1	180	48
"Bad Iburg"	22	-2	122	48
"Bad Karlshafen"	19	-2	126	51
"Bad Kissingen"	24	-4	114	59
"Bad Kohlgrub"	25	-7	172	56
"Bad Kreuznach"	23	-1	129	54
"Bad Krozingen"	25	-2	174	52
"Bad Koenig"	24	-2	111	51
"Bad Koenigshofen"	23	-5	173	55
"Bad Koenigshofen"	24	-2	111	51
"Bad Koesen"	24	-3	170	48
"Bad Koestritz"	25	-2	170	48
"Bad Koetzting"	24	-5	150	63
"Bad Laasphe"	23	0	143	46
"Bad Laer"	22	-2	122	46
"Bad Langensalza"	24	-3	170	47
"Bad Lauchstaedt"	25	-3	170	47
"Bad Lausick"	24	-3	170	48
"Bad Lauterberg"	23	-2	122	50
"Bad Liebenstein"	24	-3	170	46
"Bad Liebenzell"	23	-4	167	60
"Bad Lippspringe"	22	0	143	51
"Bad Malente"	22	-2	190	49
"Bad Marienberg"	23	-1	180	50
"Bad Mergentheim"	25	-2	111	51
"Bad Muender"	22	-2	122	47
"Bad Muenster am Stein-Ebernburg"	23	-1	129	51
